Daily Time Spent on Site,Age,Area Income,Gender,Daily Internet Usage,Ad Topic Line,City,Country,Timestamp,Clicked on Ad
69.62,20,50983.75,Male,202.25,Business-focused encompassing neural-net,New Sharon,Qatar,2/26/2016 22:46,0
85.4,43,67058.72,Female,198.72,Triple-buffered demand-driven alliance,Johnport,Sri Lanka,6/8/2016 18:54,0
44.33,37,52723.34,Male,123.72,Visionary maximized process improvement,Hamiltonfort,Trinidad and Tobago,1/8/2016 9:32,1
48.01,46,54286.1,Female,119.93,Centralized 24/7 installation,West Christopher,Italy,4/25/2016 11:01,1
73.18,23,61526.25,Male,196.71,Organized static focus group,Hollandberg,British Virgin Islands,4/4/2016 7:07,0
79.94,28,58526.04,Female,225.29,Visionary reciprocal circuit,Odomville,United Kingdom,5/3/2016 21:19,0
33.33,45,53350.11,Male,193.58,Pre-emptive value-added workforce,East Samanthashire,Guinea-Bissau,1/17/2016 9:31,1
50.33,50,62657.53,Male,133.2,Sharable analyzing alliance,South Lauraton,Micronesia,3/2/2016 4:57,1
62.31,47,62722.57,Female,119.3,Team-oriented encompassing portal,Amandahaven,Turkey,2/14/2016 7:36,1
80.6,31,67479.62,Female,177.55,Sharable bottom-line solution,Thomasview,Croatia,4/7/2016 3:56,0
65.19,36,75254.88,Female,150.61,Cross-group regional website,Garciaside,Israel,2/17/2016 11:42,1
44.98,49,52336.64,Female,129.31,Organized global model,Port Sarahshire,Svalbard & Jan Mayen Islands,4/10/2016 0:13,1
77.63,29,56113.37,Female,239.22,Upgradable asynchronous circuit,Port Gregory,Azerbaijan,2/14/2016 17:05,0
41.82,41,24852.9,Female,156.36,Phased transitional instruction set,Brendachester,Iran,5/26/2016 22:49,1
85.61,27,47708.42,Female,183.43,Customer-focused empowering ability,Lake Amy,Burundi,4/30/2016 8:07,0
85.84,34,64654.66,Male,192.93,Front-line heuristic data-warehouse,Lake Annashire,Saint Vincent and the Grenadines,6/15/2016 5:30,0
72.08,29,71228.44,Female,169.5,Stand-alone national attitude,Smithburgh,Burundi,3/9/2016 14:45,0
86.06,32,61601.05,Male,178.92,Focused upward-trending core,North Leonmouth,Bulgaria,3/31/2016 20:55,0
45.96,45,66281.46,Female,141.22,Streamlined cohesive conglomeration,Robertfurt,Christmas Island,6/3/2016 0:55,1
62.42,29,73910.9,Male,198.5,Upgradable optimizing toolset,Jasminefort,Canada,3/10/2016 23:36,0
63.89,40,51317.33,Female,105.22,Synchronized user-facing core,Jensenborough,Rwanda,1/8/2016 0:17,1
35.33,32,51510.18,Female,200.22,Organized client-driven alliance,Bradleyburgh,Turks and Caicos Islands,6/5/2016 22:11,1
75.74,25,61005.87,Male,215.25,Ergonomic multi-state structure,New Sheila,Tunisia,1/16/2016 11:35,0
78.53,34,32536.98,Female,131.72,Synergized multimedia emulation,North Regina,Norfolk Island,4/22/2016 20:10,1
46.13,31,60248.97,Female,139.01,Customer-focused optimizing moderator,Davidmouth,Bouvet Island (Bouvetoya),2/1/2016 9:00,1
69.01,46,74543.81,Female,222.63,Advanced full-range migration,New Michaeltown,Turks and Caicos Islands,7/7/2016 13:37,0
55.35,39,75509.61,Male,153.17,De-engineered object-oriented protocol,East Tammie,Cook Islands,3/8/2016 0:37,1
33.21,43,42650.32,Male,167.07,Polarized clear-thinking budgetary management,Wilcoxport,Turkey,5/10/2016 17:39,1
38.46,42,58183.04,Male,145.98,Customizable 6thgeneration knowledge user,East Michaelmouth,Guatemala,4/6/2016 11:24,1
64.1,22,60465.72,Female,215.93,Seamless object-oriented structure,East Tiffanyport,Cote d'Ivoire,4/1/2016 16:21,0
49.81,35,57009.76,Male,120.06,Seamless real-time array,Ramirezhaven,Faroe Islands,1/5/2016 4:18,1
82.73,33,54541.56,Male,238.99,Grass-roots impactful system engine,Cranemouth,Qatar,5/20/2016 21:31,0
56.14,38,32689.04,Male,113.53,Devolved tangible approach,Lake Edward,Ireland,2/3/2016 7:59,1
55.13,45,55605.92,Female,111.71,Customizable executive software,Lake Conniefurt,Ukraine,2/17/2016 21:55,1
78.11,27,63296.87,Male,209.25,Progressive analyzing attitude,East Shawnchester,Moldova,1/30/2016 16:10,0
73.46,28,65653.47,Male,222.75,Innovative executive encoding,West Joseph,Nicaragua,5/15/2016 14:41,0
56.64,38,61652.53,Female,115.91,Down-sized uniform info-mediaries,Lake Christopherfurt,Montserrat,1/5/2016 17:56,1
68.94,54,30726.26,Female,138.71,Streamlined next generation implementation,East Tylershire,Timor-Leste,4/19/2016 7:34,1
70.79,31,74535.94,Female,184.1,Distributed tertiary system engine,Sharpberg,Bouvet Island (Bouvetoya),3/15/2016 15:49,0
57.76,41,47861.93,Female,105.15,Triple-buffered scalable groupware,Lake Dustin,Puerto Rico,6/12/2016 15:25,1
77.51,36,73600.28,Female,200.55,Total 5thgeneration encoding,North Kristine,Central African Republic,7/1/2016 4:41,0
52.7,34,58543.94,Male,118.6,Integrated human-resource encoding,Grahamberg,Venezuela,5/8/2016 12:12,1
57.7,34,42696.67,Female,109.07,Phased dynamic customer loyalty,New Tina,Australia,3/14/2016 23:13,1
56.89,37,37334.78,Male,109.29,Open-source coherent policy,Nelsonfurt,Wallis and Futuna,5/25/2016 0:19,1
69.9,43,71392.53,Female,138.35,Down-sized modular intranet,Christopherport,Jersey,5/13/2016 11:51,1
55.79,24,59550.05,Female,149.67,Pre-emptive content-based focus group,Port Sarahhaven,Puerto Rico,2/20/2016 20:47,1
70.03,26,64264.25,Male,227.72,Versatile 4thgeneration system engine,Bradleyborough,Samoa,5/22/2016 20:49,0
50.08,40,64147.86,Male,125.85,Ergonomic full-range time-frame,Whiteport,Greece,4/10/2016 2:02,1
43.67,31,25686.34,Male,166.29,Automated directional function,New Theresa,Antarctica (the territory South of 60 deg S),2/28/2016 6:41,1
72.84,26,52968.22,Female,238.63,Progressive empowering alliance,Wongland,Albania,7/8/2016 21:18,0
45.72,36,22473.08,Male,154.02,Versatile homogeneous capacity,Williammouth,Hong Kong,4/19/2016 15:14,1
39.94,41,64927.19,Female,156.3,Function-based optimizing protocol,Williamsborough,Lithuania,1/8/2016 22:47,1
35.61,46,51868.85,Female,158.22,Up-sized secondary software,North Michael,Egypt,3/28/2016 8:46,1
79.71,34,69456.83,Male,211.65,Seamless holistic time-frame,Benjaminchester,Bangladesh,7/2/2016 14:57,0
41.49,53,31947.65,Female,169.18,Persevering reciprocal firmware,Hernandezville,Western Sahara,7/3/2016 9:22,1
63.6,23,51864.77,Male,235.28,Centralized logistical secured line,Youngburgh,Serbia,6/1/2016 9:27,0
89.91,40,59593.56,Female,194.23,Innovative background conglomeration,Wallacechester,Maldives,7/9/2016 14:55,0
68.18,21,48376.14,Male,218.17,Switchable 3rdgeneration hub,Sanchezmouth,Czech Republic,2/9/2016 22:04,0
66.49,20,56884.74,Female,202.16,Polarized 6thgeneration info-mediaries,Bradshawborough,Guernsey,6/10/2016 11:31,0
80.49,40,67186.54,Male,229.12,Balanced heuristic approach,Amyhaven,Tanzania,2/14/2016 3:50,0
72.23,25,46557.92,Male,241.03,Focused 24hour implementation,Marcushaven,Bhutan,7/5/2016 17:17,0
42.39,42,66541.05,Female,150.99,De-engineered mobile infrastructure,Erinton,Christmas Island,4/28/2016 5:50,1
47.53,30,33258.09,Female,135.18,Customer-focused upward-trending contingency,Hughesport,Guinea,4/3/2016 5:10,1
74.02,32,72272.9,Female,210.54,Operative system-worthy protocol,Johnstad,Micronesia,3/9/2016 14:57,0
66.63,60,60333.38,Female,176.98,User-friendly upward-trending intranet,New Lucasburgh,Madagascar,1/16/2016 23:37,1
63.24,53,65229.13,Male,235.78,Future-proofed holistic superstructure,Michelleside,Lebanon,7/3/2016 4:33,1
71,22,56067.38,Female,211.87,Extended systemic policy,Andersonton,Eritrea,3/14/2016 6:46,0
46.13,46,37838.72,Male,123.64,Horizontal hybrid challenge,New Rachel,Guyana,1/9/2016 5:44,1
69,32,72683.35,Male,221.21,Virtual composite model,Port Susan,Trinidad and Tobago,2/11/2016 4:37,0
76.99,31,56729.78,Male,244.34,Switchable mobile framework,West Angelabury,Jersey,6/22/2016 7:33,0
72.6,55,66815.54,Female,162.95,Focused intangible moderator,Port Christopherborough,United Arab Emirates,7/13/2016 16:12,1
61.88,42,60223.52,Male,112.19,Balanced actuating moderator,Phillipsbury,Martinique,7/23/2016 11:46,1
84.45,50,29727.79,Female,207.18,Customer-focused transitional strategy,Millerside,Somalia,7/13/2016 4:10,1
88.97,,49269.98,Female,152.49,Advanced web-enabled standardization,Lake Jessica,Bhutan,6/11/2016 18:32,1
86.19,31,57669.41,Male,210.26,Pre-emptive executive knowledgebase,Lopezmouth,Greece,5/8/2016 12:51,0
49.58,26,56791.75,Female,231.94,Self-enabling holistic process improvement,Johnsport,Benin,4/7/2016 16:02,0
77.65,27,63274.88,Female,212.79,Horizontal client-driven hierarchy,South Ronald,Papua New Guinea,2/4/2016 13:30,0
37.75,36,35466.8,Female,225.24,Polarized dynamic throughput,South Daniel,Uzbekistan,2/26/2016 19:48,1
62.33,43,68787.09,Female,127.11,Devolved zero administration intranet,Suzannetown,South Africa,6/21/2016 13:15,1
79.57,31,61227.59,Female,230.93,User-friendly asymmetric info-mediaries,Lisaberg,Egypt,5/17/2016 4:27,0
80.31,44,56366.88,Female,127.07,Cross-platform regional task-force,Brianfurt,Hungary,4/18/2016 15:54,1
89.05,45,57868.44,Female,206.98,Polarized bandwidth-monitored moratorium,Stewartbury,Falkland Islands (Malvinas),4/3/2016 10:07,0
70.41,27,66618.21,Female,223.03,Centralized systematic knowledgebase,Benjaminchester,Dominica,4/4/2016 21:30,0
67.36,37,73104.47,Female,233.56,Future-proofed grid-enabled implementation,North Wesleychester,Jersey,7/6/2016 16:00,0
46.98,50,21644.91,Female,175.37,Down-sized well-modulated archive,East Michelleberg,Lithuania,5/4/2016 9:00,1
41.67,36,53817.02,Female,132.55,Realigned zero tolerance emulation,Port Eric,Saint Martin,6/13/2016 18:50,1
51.24,36,76368.31,Female,176.73,Versatile transitional monitoring,Timothyfurt,Cuba,1/3/2016 16:01,1
75.7,29,67633.44,Female,215.44,Profound zero administration instruction set,Port Jeffrey,United States Minor Outlying Islands,1/14/2016 0:23,0
43.49,47,50335.46,Female,127.83,User-centric intangible task-force,Guzmanland,Belize,1/12/2016 10:07,1
49.89,39,17709.98,Male,160.03,Enhanced system-worthy application,East Michele,Belize,4/16/2016 12:09,1
38.37,36,41229.16,Female,140.46,Multi-layered user-facing paradigm,East John,Antarctica (the territory South of 60 deg S),5/13/2016 6:09,1
38.52,38,42581.23,Male,137.28,Customer-focused 24/7 concept,Lesliebury,Saint Vincent and the Grenadines,3/27/2016 23:59,1
71.89,23,61617.98,Male,172.81,Function-based transitional complexity,Patriciahaven,Kuwait,2/3/2016 23:47,0
75.8,38,70575.6,Male,146.19,Progressive clear-thinking open architecture,Ashleychester,Thailand,4/18/2016 11:23,0
83.86,31,64122.36,Female,190.25,Up-sized executive moderator,Lake Josetown,Gibraltar,2/5/2016 19:06,0
37.51,30,52097.32,Male,163,Re-contextualized optimal service-desk,Debraburgh,Holy See (Vatican City State),3/21/2016 18:46,1
55.6,44,65953.76,Male,124.38,Fully-configurable neutral open system,New Debbiestad,Korea,6/14/2016 11:59,1
83.67,44,60192.72,Male,234.26,Upgradable system-worthy array,West Shaun,Saint Helena,2/6/2016 23:08,0
69.08,41,77460.07,Female,210.6,Ergonomic client-driven application,Kimberlyhaven,Turks and Caicos Islands,3/12/2016 1:39,0
37.47,44,45716.48,Male,141.89,Realigned content-based leverage,Port Lawrence,Czech Republic,1/26/2016 3:56,1
56.04,49,65120.86,Male,128.95,Decentralized real-time circuit,West Ricardo,Netherlands,2/7/2016 8:02,1
70.92,41,49995.63,Male,108.16,Polarized modular function,Lake Jose,Belarus,5/5/2016 7:58,1
49.78,46,71718.51,Female,152.24,Enterprise-wide client-driven contingency,Heatherberg,Dominica,6/29/2016 2:43,1
68.61,57,61770.34,Female,150.29,Diverse modular interface,South George,South Africa,4/10/2016 19:48,1
58.18,25,69112.84,Male,176.28,Polarized analyzing concept,Tinachester,New Zealand,2/10/2016 6:37,0
78.54,35,72524.86,Female,172.1,Multi-channeled asynchronous open system,Port Jodi,Togo,5/28/2016 20:41,0
37,48,36782.38,Male,158.22,Function-based context-sensitive secured line,Jonathantown,Kenya,3/24/2016 6:36,1
65.4,33,66699.12,Female,247.31,Adaptive 24hour Graphic Interface,Sylviaview,Palau,2/12/2016 22:51,0
79.52,27,64287.78,Male,183.48,Automated coherent flexibility,East Timothyport,Timor-Leste,6/10/2016 10:11,0
87.98,38,56637.59,Male,222.11,Focused scalable complexity,West Roytown,Cambodia,3/31/2016 10:44,0
44.64,36,55787.58,Female,127.01,Up-sized incremental encryption,Codyburgh,Belize,2/14/2016 6:51,1
41.73,28,61142.33,Male,202.18,Sharable dedicated Graphic Interface,Port Erikhaven,Cuba,1/7/2016 19:16,1
80.46,27,61625.87,Male,207.96,Digitized zero administration paradigm,Port Chasemouth,Costa Rica,2/4/2016 2:13,0
75.55,36,73234.87,Female,159.24,Managed grid-enabled standardization,Ramirezside,Liechtenstein,5/9/2016 2:58,1
76.32,35,74166.24,Male,195.31,Networked foreground definition,East Michaeltown,Korea,6/23/2016 0:16,0
82.68,33,62669.59,Male,222.77,Re-engineered exuding frame,West Courtney,Ukraine,6/20/2016 9:35,0
72.01,31,57756.89,Female,251,Horizontal multi-state interface,West Michaelhaven,Angola,2/29/2016 12:31,0
75.83,24,58019.64,Female,162.44,Diverse stable circuit,Walshhaven,Nauru,1/17/2016 15:10,0
41.28,50,50960.08,Female,140.39,Universal 24/7 implementation,East Rachelview,Equatorial Guinea,1/29/2016 3:54,1
34.66,32,48246.6,Female,194.83,Customer-focused multi-tasking Internet solution,Curtisport,Mongolia,7/14/2016 12:07,1
66.18,55,28271.84,Female,143.42,Vision-oriented contextually-based extranet,Frankbury,Svalbard & Jan Mayen Islands,1/10/2016 23:14,1
86.06,31,53767.12,Male,219.72,Extended local methodology,Timothytown,Timor-Leste,4/28/2016 18:34,0
59.59,42,43662.1,Male,104.78,Re-engineered demand-driven capacity,Samanthaland,Brazil,7/6/2016 18:36,1
86.69,34,62238.58,Female,198.56,Customer-focused attitude-oriented instruction set,South Jennifer,Chad,5/27/2016 6:19,0
43.77,52,49030.03,Male,138.55,Synergized hybrid time-frame,Kyleborough,Portugal,1/25/2016 7:39,1
71.84,47,76003.47,Male,199.79,Advanced exuding conglomeration,North Randy,Malawi,5/8/2016 22:47,0
80.23,31,68094.85,Female,196.23,Secured clear-thinking middleware,South Daniellefort,Qatar,3/19/2016 14:23,0
74.41,26,64395.85,Female,163.05,Right-sized value-added initiative,Dianashire,Singapore,7/23/2016 4:37,0
63.36,48,70053.27,Female,137.43,Centralized tertiary pricing structure,East Eric,Guinea,6/23/2016 1:22,1
71.74,35,72423.97,Female,227.56,Multi-channeled reciprocal artificial intelligence,Hammondport,Kazakhstan,7/19/2016 18:06,0
60.72,44,42995.8,Female,105.69,Synergized context-sensitive database,Jacobstad,Kuwait,2/28/2016 18:52,1
72.04,22,60309.58,Female,199.43,Realigned systematic function,Hernandezfort,Rwanda,2/10/2016 6:52,0
44.57,31,38349.78,Male,133.17,Adaptive context-sensitive application,Joneston,China,3/27/2016 9:11,1
85.86,34,63115.34,Female,208.23,Networked high-level structure,New Jeffreychester,Bouvet Island (Bouvetoya),5/23/2016 2:15,0
39.85,38,31343.39,Female,145.96,Profit-focused dedicated utilization,East Stephen,Vietnam,1/3/2016 3:22,1
84.53,27,40763.13,Female,168.34,Stand-alone tangible moderator,Turnerchester,Guatemala,1/4/2016 21:48,1
62.95,60,36752.24,Female,157.04,Polarized tangible collaboration,Youngfort,Peru,5/24/2016 13:30,1
67.58,41,65044.59,Male,255.61,Focused high-level conglomeration,Ingramberg,Mayotte,2/1/2016 19:42,0
85.56,29,53673.08,Female,210.46,Advanced modular Local Area Network,South Denisefurt,Samoa,6/5/2016 13:16,0
46.88,54,43444.86,Female,136.64,Virtual scalable secured line,Port Melissaberg,Singapore,2/4/2016 8:53,1
46.31,57,44248.52,Male,153.98,Front-line fault-tolerant intranet,Bernardton,Jamaica,3/24/2016 13:37,1
77.95,31,62572.88,Male,233.65,Inverse asymmetric instruction set,Port Mathew,Bahamas,6/2/2016 21:02,0
84.73,30,39840.55,Female,153.76,Synchronized leadingedge help-desk,Aliciatown,Canada,2/21/2016 7:42,1
39.86,36,32593.59,Female,145.85,Total 5thgeneration standardization,Josephstad,Algeria,6/26/2016 17:16,1
50.08,30,41629.86,Female,123.91,Sharable grid-enabled matrix,West Ericfurt,Fiji,1/3/2016 5:34,1
60.23,35,43313.73,Female,106.86,Balanced asynchronous hierarchy,New Brendafurt,Kenya,3/8/2016 18:00,1
60.7,49,42993.48,Male,110.57,Monitored object-oriented Graphic Interface,Port Julie,Argentina,6/19/2016 3:19,1
43.67,53,46004.31,Male,143.79,Cloned analyzing artificial intelligence,South Tiffanyton,Bouvet Island (Bouvetoya),7/21/2016 21:16,1
77.2,33,49325.48,Male,254.05,Persistent homogeneous framework,North Elizabeth,Philippines,2/12/2016 20:36,0
71.86,32,51633.34,Female,116.53,Face-to-face even-keeled website,Kentmouth,Senegal,5/17/2016 6:14,1
44.78,45,63363.04,Male,137.24,Extended context-sensitive monitoring,West Casey,Suriname,7/9/2016 11:04,1
78.57,36,64045.93,Male,239.32,Exclusive client-driven model,East Henry,Liberia,3/27/2016 2:35,0
73.41,31,73049.3,Male,201.26,Profound executive flexibility,Hollyfurt,Guam,1/16/2016 8:01,0
77.05,27,66624.6,Female,191.14,Reduced bi-directional strategy,North Anna,United Arab Emirates,1/21/2016 23:48,0
66.4,40,77567.85,Female,214.42,Digitized heuristic solution,Port Destiny,Antigua and Barbuda,6/5/2016 0:29,0
69.35,29,53431.35,Male,252.77,Seamless 4thgeneration contingency,Ianmouth,Argentina,2/13/2016 15:37,0
35.65,40,31265.75,Male,172.58,Seamless intangible secured line,North Johntown,Georgia,5/10/2016 7:22,1
70.04,31,74780.74,Male,183.85,Intuitive radical forecast,Hannahside,Jordan,3/27/2016 3:59,0
69.78,29,70410.11,Female,218.79,Multi-layered non-volatile Graphical User Interface,Wilsonburgh,Saudi Arabia,5/24/2016 18:35,0
58.22,29,37345.24,Female,120.9,User-friendly client-server instruction set,North Russellborough,South Africa,2/11/2016 2:40,1
76.9,28,66107.84,Female,212.67,Synchronized multimedia model,Murphymouth,Croatia,4/22/2016 8:31,0
84.08,30,62336.39,Male,187.36,Face-to-face intermediate approach,Carterburgh,Fiji,1/13/2016 2:58,0
59.51,58,39132.64,Female,140.83,Assimilated fault-tolerant hub,Penatown,Australia,6/16/2016 2:01,1
40.15,38,38745.29,Male,134.88,Exclusive disintermediate task-force,Joechester,Sao Tome and Principe,6/27/2016 18:37,1
76.81,28,65172.22,Male,217.85,Managed zero tolerance concept,East Paul,Fiji,7/3/2016 12:57,0
41.89,38,68519.96,Female,163.38,Compatible systemic function,Hartmanchester,Cyprus,2/3/2016 4:21,1
76.87,27,54774.77,Male,235.35,Configurable fault-tolerant monitoring,Mcdonaldfort,Kyrgyz Republic,5/29/2016 21:17,0
67.28,43,76246.96,Male,155.8,Future-proofed coherent hardware,North Mercedes,Pakistan,4/3/2016 21:13,1
81.98,40,65461.92,Female,229.22,Ameliorated upward-trending definition,Taylorberg,Seychelles,4/15/2016 11:51,0
66.01,23,34127.21,Female,151.95,Front-line tangible alliance,Hansenmouth,Samoa,6/21/2016 3:14,1
61.57,53,35253.98,Male,125.94,Progressive 24hour forecast,Bradyfurt,Bulgaria,3/14/2016 14:13,1
53.3,34,44893.71,Female,111.94,Self-enabling optimal initiative,West Jessicahaven,Mauritania,5/6/2016 21:07,1
34.87,40,59621.02,Female,200.23,Configurable logistical Graphical User Interface,Davilachester,Czech Republic,6/12/2016 17:52,1
43.6,38,20856.54,Female,170.49,Virtual bandwidth-monitored initiative,North Ricardotown,Chile,1/11/2016 7:36,1
77.88,37,55353.41,Female,254.57,Multi-tiered human-resource structure,Melissafurt,Poland,7/2/2016 0:24,0
75.83,27,67516.07,Female,200.59,Managed upward-trending instruction set,East Brianberg,Estonia,3/4/2016 10:13,0
49.95,39,68737.75,Female,136.59,Cloned object-oriented benchmark,Millerbury,Turkmenistan,3/24/2016 9:12,1
60.94,41,76893.84,Female,154.97,Fundamental fault-tolerant neural-net,Garciaview,Latvia,2/14/2016 7:30,1
89.15,42,59886.58,Female,171.07,Phased zero administration success,Townsendfurt,Fiji,4/25/2016 7:30,0
78.7,30,53441.69,Female,133.99,Compatible intangible customer loyalty,Williamstad,Turkey,2/10/2016 19:20,1
57.35,29,41356.31,Female,119.84,Distributed 3rdgeneration definition,West Connor,Kazakhstan,4/23/2016 14:34,1
34.86,38,49942.66,Female,154.75,Pre-emptive cohesive budgetary management,West Justin,Bahrain,6/18/2016 17:56,1
70.68,31,74430.08,Female,199.08,Configurable multi-state utilization,Robertbury,Colombia,7/17/2016 1:58,0
76.06,23,58633.63,Female,201.04,Diverse multi-tasking parallelism,New Tinamouth,Brunei Darussalam,4/27/2016 4:28,0
66.67,33,72707.87,Male,228.03,Horizontal content-based synergy,Turnerview,Taiwan,4/21/2016 20:29,0
46.77,32,31092.93,Male,136.4,Multi-tiered maximized archive,Reneechester,Serbia,3/23/2016 6:00,1
62.42,38,74445.18,Female,143.94,Diverse executive groupware,West Tinashire,Saint Pierre and Miquelon,7/19/2016 7:59,1
78.32,28,49309.14,Female,239.52,Synergized cohesive array,Jamesfurt,Australia,6/26/2016 11:52,1
37.32,50,56735.14,Male,199.25,Versatile dedicated software,New Nancy,Chad,3/30/2016 23:40,1
40.42,45,40183.75,Male,133.9,Stand-alone reciprocal synergy,Lisamouth,Norway,3/16/2016 7:59,1
76.77,36,58348.41,Female,123.51,Universal even-keeled analyzer,Harveyport,Turks and Caicos Islands,5/4/2016 0:01,1
65.65,30,72209.99,Female,158.05,Up-sized tertiary contingency,Ramosstad,Finland,7/2/2016 21:22,0
74.32,33,62060.11,Female,128.17,Monitored real-time superstructure,North Kevinside,South Africa,5/23/2016 21:14,1
73.27,32,67113.46,Male,234.75,Streamlined analyzing initiative,Haleview,Martinique,1/29/2016 20:16,0
80.03,44,24030.06,Female,150.84,Automated static concept,Christinetown,Afghanistan,7/23/2016 14:47,1
53.68,47,56180.93,Male,115.26,Operative stable moderator,New Michael,Micronesia,2/16/2016 9:11,1
